
Converting numbers in file: P2/TC2.txt
Original: 7116776	Binary: 11011001001011111101000	Hexadecimal: 6C97E8
Original: 8185634	Binary: 11111001110011100100010	Hexadecimal: 7CE722
Original: 2464786	Binary: 1001011001110000010010	Hexadecimal: 259C12
Original: 8387154	Binary: 11111111111101001010010	Hexadecimal: 7FFA52
Original: 5581444	Binary: 10101010010101010000100	Hexadecimal: 552A84
Original: 8097911	Binary: 11110111001000001110111	Hexadecimal: 7B9077
Original: 8882527	Binary: 100001111000100101011111	Hexadecimal: 87895F
Original: 8941444	Binary: 100010000110111110000100	Hexadecimal: 886F84
Original: 4942703	Binary: 10010110110101101101111	Hexadecimal: 4B6B6F
Original: 101144	Binary: 11000101100011000	Hexadecimal: 18B18
Original: 7471180	Binary: 11100100000000001001100	Hexadecimal: 72004C
Original: 1932131	Binary: 111010111101101100011	Hexadecimal: 1D7B63
Original: 8052752	Binary: 11110101110000000010000	Hexadecimal: 7AE010
Original: 6359493	Binary: 11000010000100111000101	Hexadecimal: 6109C5
Original: 1967646	Binary: 111100000011000011110	Hexadecimal: 1E061E
Original: 6575052	Binary: 11001000101001111001100	Hexadecimal: 6453CC
Original: 2323342	Binary: 1000110111001110001110	Hexadecimal: 23738E
Original: 6735760	Binary: 11001101100011110010000	Hexadecimal: 66C790
Original: 8895858	Binary: 100001111011110101110010	Hexadecimal: 87BD72
Original: 4238091	Binary: 10000001010101100001011	Hexadecimal: 40AB0B
Original: 7093069	Binary: 11011000011101101001101	Hexadecimal: 6C3B4D
Original: 39	Binary: 100111	Hexadecimal: 27

Converting numbers in file: P2/TC3.txt
Original: -39	Binary: -100111	Hexadecimal: -27
Original: -36	Binary: -100100	Hexadecimal: -24
Original: 8	Binary: 1000	Hexadecimal: 08
Original: 34	Binary: 100010	Hexadecimal: 22
Original: 17	Binary: 10001	Hexadecimal: 11
Original: 49	Binary: 110001	Hexadecimal: 31
Original: 5	Binary: 101	Hexadecimal: 05
Original: 39	Binary: 100111	Hexadecimal: 27
Original: 0	Binary: 0	Hexadecimal: 00
Original: 33	Binary: 100001	Hexadecimal: 21
Original: 12	Binary: 1100	Hexadecimal: 0C
Original: -6	Binary: -110	Hexadecimal: -6
Original: 27	Binary: 11011	Hexadecimal: 1B
Original: -4	Binary: -100	Hexadecimal: -4
Original: -38	Binary: -100110	Hexadecimal: -26
Original: 26	Binary: 11010	Hexadecimal: 1A
Original: 49	Binary: 110001	Hexadecimal: 31
Original: 29	Binary: 11101	Hexadecimal: 1D
Original: 42	Binary: 101010	Hexadecimal: 2A
Original: -16	Binary: -10000	Hexadecimal: -10
Original: -28	Binary: -11100	Hexadecimal: -1C
Original: 34	Binary: 100010	Hexadecimal: 22
Original: 20	Binary: 10100	Hexadecimal: 14
Original: 0	Binary: 0	Hexadecimal: 00
Original: 25	Binary: 11001	Hexadecimal: 19
Original: 45	Binary: 101101	Hexadecimal: 2D
Original: 3	Binary: 11	Hexadecimal: 03
Original: -46	Binary: -101110	Hexadecimal: -2E
Original: -46	Binary: -101110	Hexadecimal: -2E
Original: 29	Binary: 11101	Hexadecimal: 1D
Original: 33	Binary: 100001	Hexadecimal: 21
Original: 29	Binary: 11101	Hexadecimal: 1D
Original: 26	Binary: 11010	Hexadecimal: 1A
Original: -5	Binary: -101	Hexadecimal: -5
Original: -36	Binary: -100100	Hexadecimal: -24
Original: 12	Binary: 1100	Hexadecimal: 0C
Original: 45	Binary: 101101	Hexadecimal: 2D
Original: -50	Binary: -110010	Hexadecimal: -32
Original: 0	Binary: 0	Hexadecimal: 00
Original: -6	Binary: -110	Hexadecimal: -6
Original: -39	Binary: -100111	Hexadecimal: -27
Original: 35	Binary: 100011	Hexadecimal: 23
Original: 26	Binary: 11010	Hexadecimal: 1A
Original: -35	Binary: -100011	Hexadecimal: -23
Original: -42	Binary: -101010	Hexadecimal: -2A
Original: 14	Binary: 1110	Hexadecimal: 0E
Original: -3	Binary: -11	Hexadecimal: -3
Original: 22	Binary: 10110	Hexadecimal: 16
Original: -47	Binary: -101111	Hexadecimal: -2F
Original: 12	Binary: 1100	Hexadecimal: 0C
Original: -17	Binary: -10001	Hexadecimal: -11
Original: -31	Binary: -11111	Hexadecimal: -1F
Original: -25	Binary: -11001	Hexadecimal: -19
Original: -35	Binary: -100011	Hexadecimal: -23
Original: -18	Binary: -10010	Hexadecimal: -12
Original: 14	Binary: 1110	Hexadecimal: 0E
Original: 37	Binary: 100101	Hexadecimal: 25
Original: -8	Binary: -1000	Hexadecimal: -8
Original: -41	Binary: -101001	Hexadecimal: -29
Original: -50	Binary: -110010	Hexadecimal: -32
Original: -9	Binary: -1001	Hexadecimal: -9
Original: 2	Binary: 10	Hexadecimal: 02
Original: 12	Binary: 1100	Hexadecimal: 0C
Original: -39	Binary: -100111	Hexadecimal: -27
Original: -17	Binary: -10001	Hexadecimal: -11
Original: 0	Binary: 0	Hexadecimal: 00
Original: 27	Binary: 11011	Hexadecimal: 1B
Original: 28	Binary: 11100	Hexadecimal: 1C
Original: 45	Binary: 101101	Hexadecimal: 2D
Original: -44	Binary: -101100	Hexadecimal: -2C
Original: 28	Binary: 11100	Hexadecimal: 1C
Original: 35	Binary: 100011	Hexadecimal: 23
Original: -33	Binary: -100001	Hexadecimal: -21
Original: 43	Binary: 101011	Hexadecimal: 2B
Original: -4	Binary: -100	Hexadecimal: -4
Original: 23	Binary: 10111	Hexadecimal: 17
Original: -49	Binary: -110001	Hexadecimal: -31
Original: 49	Binary: 110001	Hexadecimal: 31
Original: -7	Binary: -111	Hexadecimal: -7
Original: -38	Binary: -100110	Hexadecimal: -26
Original: -45	Binary: -101101	Hexadecimal: -2D
Original: 5	Binary: 101	Hexadecimal: 05
Original: -21	Binary: -10101	Hexadecimal: -15
Original: 26	Binary: 11010	Hexadecimal: 1A
Original: -2	Binary: -10	Hexadecimal: -2
Original: -24	Binary: -11000	Hexadecimal: -18
Original: 6	Binary: 110	Hexadecimal: 06
Original: -45	Binary: -101101	Hexadecimal: -2D
Original: -4	Binary: -100	Hexadecimal: -4
Original: 15	Binary: 1111	Hexadecimal: 0F
Original: 0	Binary: 0	Hexadecimal: 00
Original: -17	Binary: -10001	Hexadecimal: -11
Original: -35	Binary: -100011	Hexadecimal: -23
Original: 43	Binary: 101011	Hexadecimal: 2B
Original: 45	Binary: 101101	Hexadecimal: 2D
Original: -35	Binary: -100011	Hexadecimal: -23
Original: -8	Binary: -1000	Hexadecimal: -8
Original: 28	Binary: 11100	Hexadecimal: 1C
Original: 47	Binary: 101111	Hexadecimal: 2F
Original: 34	Binary: 100010	Hexadecimal: 22
Original: -24	Binary: -11000	Hexadecimal: -18
Original: -42	Binary: -101010	Hexadecimal: -2A
Original: -13	Binary: -1101	Hexadecimal: -D
Original: 14	Binary: 1110	Hexadecimal: 0E
Original: -45	Binary: -101101	Hexadecimal: -2D
Original: -35	Binary: -100011	Hexadecimal: -23
Original: 27	Binary: 11011	Hexadecimal: 1B
Original: -12	Binary: -1100	Hexadecimal: -C
Original: -19	Binary: -10011	Hexadecimal: -13
Original: -20	Binary: -10100	Hexadecimal: -14
Original: -14	Binary: -1110	Hexadecimal: -E
Original: 20	Binary: 10100	Hexadecimal: 14
Original: 30	Binary: 11110	Hexadecimal: 1E
Original: 12	Binary: 1100	Hexadecimal: 0C
Original: -36	Binary: -100100	Hexadecimal: -24
Original: -47	Binary: -101111	Hexadecimal: -2F
Original: -27	Binary: -11011	Hexadecimal: -1B
Original: -3	Binary: -11	Hexadecimal: -3
Original: 6	Binary: 110	Hexadecimal: 06
Original: 36	Binary: 100100	Hexadecimal: 24
Original: 9	Binary: 1001	Hexadecimal: 09
Original: -16	Binary: -10000	Hexadecimal: -10
Original: 36	Binary: 100100	Hexadecimal: 24
Original: -27	Binary: -11011	Hexadecimal: -1B
Original: 7	Binary: 111	Hexadecimal: 07
Original: -6	Binary: -110	Hexadecimal: -6
Original: -5	Binary: -101	Hexadecimal: -5
Original: 5	Binary: 101	Hexadecimal: 05
Original: 47	Binary: 101111	Hexadecimal: 2F
Original: 23	Binary: 10111	Hexadecimal: 17
Original: -48	Binary: -110000	Hexadecimal: -30
Original: -24	Binary: -11000	Hexadecimal: -18
Original: 40	Binary: 101000	Hexadecimal: 28
Original: -4	Binary: -100	Hexadecimal: -4
Original: -18	Binary: -10010	Hexadecimal: -12
Original: -19	Binary: -10011	Hexadecimal: -13
Original: 14	Binary: 1110	Hexadecimal: 0E
Original: 15	Binary: 1111	Hexadecimal: 0F
Original: 1	Binary: 1	Hexadecimal: 01
Original: 24	Binary: 11000	Hexadecimal: 18
Original: -9	Binary: -1001	Hexadecimal: -9
Original: -50	Binary: -110010	Hexadecimal: -32
Original: 18	Binary: 10010	Hexadecimal: 12
Original: 15	Binary: 1111	Hexadecimal: 0F
Original: 30	Binary: 11110	Hexadecimal: 1E
Original: 44	Binary: 101100	Hexadecimal: 2C
Original: 9	Binary: 1001	Hexadecimal: 09
Original: 19	Binary: 10011	Hexadecimal: 13
Original: 33	Binary: 100001	Hexadecimal: 21
Original: 41	Binary: 101001	Hexadecimal: 29
Original: -24	Binary: -11000	Hexadecimal: -18
Original: 43	Binary: 101011	Hexadecimal: 2B
Original: 48	Binary: 110000	Hexadecimal: 30
Original: -23	Binary: -10111	Hexadecimal: -17
Original: 7	Binary: 111	Hexadecimal: 07
Original: 28	Binary: 11100	Hexadecimal: 1C
Original: 8	Binary: 1000	Hexadecimal: 08
Original: -2	Binary: -10	Hexadecimal: -2
Original: 37	Binary: 100101	Hexadecimal: 25
Original: 42	Binary: 101010	Hexadecimal: 2A
Original: -17	Binary: -10001	Hexadecimal: -11
Original: -6	Binary: -110	Hexadecimal: -6
Original: 36	Binary: 100100	Hexadecimal: 24
Original: 22	Binary: 10110	Hexadecimal: 16
Original: 27	Binary: 11011	Hexadecimal: 1B
Original: 31	Binary: 11111	Hexadecimal: 1F
Original: -47	Binary: -101111	Hexadecimal: -2F
Original: -43	Binary: -101011	Hexadecimal: -2B
Original: 0	Binary: 0	Hexadecimal: 00
Original: 27	Binary: 11011	Hexadecimal: 1B
Original: 30	Binary: 11110	Hexadecimal: 1E
Original: 12	Binary: 1100	Hexadecimal: 0C
Original: -15	Binary: -1111	Hexadecimal: -F
Original: -19	Binary: -10011	Hexadecimal: -13
Original: -42	Binary: -101010	Hexadecimal: -2A
Original: -37	Binary: -100101	Hexadecimal: -25
Original: 31	Binary: 11111	Hexadecimal: 1F
Original: -10	Binary: -1010	Hexadecimal: -A
Original: 18	Binary: 10010	Hexadecimal: 12
Original: 33	Binary: 100001	Hexadecimal: 21
Original: -15	Binary: -1111	Hexadecimal: -F
Original: 17	Binary: 10001	Hexadecimal: 11
Original: 25	Binary: 11001	Hexadecimal: 19
Original: -25	Binary: -11001	Hexadecimal: -19
Original: -5	Binary: -101	Hexadecimal: -5
Original: 33	Binary: 100001	Hexadecimal: 21
Original: -13	Binary: -1101	Hexadecimal: -D
Original: 33	Binary: 100001	Hexadecimal: 21
Original: -10	Binary: -1010	Hexadecimal: -A
Original: 47	Binary: 101111	Hexadecimal: 2F
Original: 47	Binary: 101111	Hexadecimal: 2F
Original: -13	Binary: -1101	Hexadecimal: -D
Original: -32	Binary: -100000	Hexadecimal: -20
Original: 1	Binary: 1	Hexadecimal: 01
Original: 1	Binary: 1	Hexadecimal: 01
Original: -25	Binary: -11001	Hexadecimal: -19
Original: -33	Binary: -100001	Hexadecimal: -21
Original: 16	Binary: 10000	Hexadecimal: 10
Original: 17	Binary: 10001	Hexadecimal: 11
Original: 4	Binary: 100	Hexadecimal: 04

Converting numbers in file: P2/TC1.txt
Original: 6980368	Binary: 11010101000001100010000	Hexadecimal: 6A8310
Original: 5517055	Binary: 10101000010111011111111	Hexadecimal: 542EFF
Original: 1336159	Binary: 101000110001101011111	Hexadecimal: 14635F
Original: 6750185	Binary: 11001101111111111101001	Hexadecimal: 66FFE9
Original: 1771937	Binary: 110110000100110100001	Hexadecimal: 1B09A1
Original: 360952	Binary: 1011000000111111000	Hexadecimal: 581F8
Original: 5672561	Binary: 10101101000111001110001	Hexadecimal: 568E71
Original: 916583	Binary: 11011111110001100111	Hexadecimal: DFC67
Original: 2700138	Binary: 1010010011001101101010	Hexadecimal: 29336A
Original: 9645053	Binary: 100100110010101111111101	Hexadecimal: 932BFD
Original: 1181110	Binary: 100100000010110110110	Hexadecimal: 1205B6
Original: 1492185	Binary: 101101100010011011001	Hexadecimal: 16C4D9
Original: 4018595	Binary: 1111010101000110100011	Hexadecimal: 3D51A3
Original: 7654888	Binary: 11101001100110111101000	Hexadecimal: 74CDE8
Original: 7062453	Binary: 11010111100001110110101	Hexadecimal: 6BC3B5
Original: 2478010	Binary: 1001011100111110111010	Hexadecimal: 25CFBA
Original: 6134768	Binary: 10111011001101111110000	Hexadecimal: 5D9BF0
Original: 8420417	Binary: 100000000111110001000001	Hexadecimal: 807C41
Original: 2917489	Binary: 1011001000010001110001	Hexadecimal: 2C8471
Original: 3340773	Binary: 1100101111100111100101	Hexadecimal: 32F9E5
Original: 1115956	Binary: 100010000011100110100	Hexadecimal: 110734
Original: 9172192	Binary: 100010111111010011100000	Hexadecimal: 8BF4E0
Original: 6271996	Binary: 10111111011001111111100	Hexadecimal: 5FB3FC
Original: 8686939	Binary: 100001001000110101011011	Hexadecimal: 848D5B
Original: 50986	Binary: 1100011100101010	Hexadecimal: C72A
Original: 9376410	Binary: 100011110001001010011010	Hexadecimal: 8F129A
Original: 5962327	Binary: 10110101111101001010111	Hexadecimal: 5AFA57
Original: 7686891	Binary: 11101010100101011101011	Hexadecimal: 754AEB
Original: 6615183	Binary: 11001001111000010001111	Hexadecimal: 64F08F
Original: 1864844	Binary: 111000111010010001100	Hexadecimal: 1C748C
Original: 3329962	Binary: 1100101100111110101010	Hexadecimal: 32CFAA
Original: 3942794	Binary: 1111000010100110001010	Hexadecimal: 3C298A
Original: 2614836	Binary: 1001111110011000110100	Hexadecimal: 27E634
Original: 7406772	Binary: 11100010000010010110100	Hexadecimal: 7104B4
Original: 2384190	Binary: 1001000110000100111110	Hexadecimal: 24613E
Original: 398347	Binary: 1100001010000001011	Hexadecimal: 6140B
Original: 8698503	Binary: 100001001011101010000111	Hexadecimal: 84BA87
Original: 9551696	Binary: 100100011011111101010000	Hexadecimal: 91BF50
Original: 1019556	Binary: 11111000111010100100	Hexadecimal: F8EA4
Original: 1677430	Binary: 110011001100001110110	Hexadecimal: 199876
Original: 3479629	Binary: 1101010001100001001101	Hexadecimal: 35184D
Original: 9309008	Binary: 100011100000101101010000	Hexadecimal: 8E0B50
Original: 5266170	Binary: 10100000101101011111010	Hexadecimal: 505AFA
Original: 4094340	Binary: 1111100111100110000100	Hexadecimal: 3E7984
Original: 1754055	Binary: 110101100001111000111	Hexadecimal: 1AC3C7
Original: 5861132	Binary: 10110010110111100001100	Hexadecimal: 596F0C
Original: 4471329	Binary: 10001000011101000100001	Hexadecimal: 443A21
Original: 8826052	Binary: 100001101010110011000100	Hexadecimal: 86ACC4
